Country,Benchmarker,Participated P21 ,Participated P16,Participated P11,Participated P06,Participated P01,P26 Assessment Languages,"Notes (not for the display, just for us)"
Albania,,X,,,,,Albanian,
Australia,,X,X,X,,,English,
Austria,,X,X,X,X,,German,
Azerbaijan,,X,X,X,,,"Azerbaijani, Russian",
Bahrain,,X,X,,,,"Arabic, English",
Belgium (Flemish),,X,X,,X,,Flemish,
Belgium (French),,X,X,X,X,,French,
Brazil,,X,,,,,Portuguese,
Bulgaria,,X,X,X,X,X,Bulgarian,
Canada,,X,X,X,X,X,"English, French","Will need to talk about this one-- they technically did participate in P21, but then got broken up into benchmarkers because of issues with participation due to COVID."
"Ontario, Canada",X,,X,X,X,X,"English, French","Technically participated in P21, but response rates were so low b/c of COVID that we didn't report them."
"Quebec, Canada",X,X,X,X,X,X,"English, French",
Chinese Taipei,,X,X,X,X,,Chinese,
Cyprus,,X,,,,X,"English, Greek",
Czech Republic,,X,X,X,,X,Czech,
Denmark,,X,X,X,X,,Danish,
England,,X,X,X,X,X,English,
Finland,,X,X,X,,,"Finnish, Swedish",
France,,X,X,X,X,X,French,
Georgia,,X,X,X,X,,Georgian,
Germany,,X,X,X,X,X,German,
Hong Kong SAR,,X,X,X,X,X,Chinese,Any need to distinguish between simplified and traditional Chinese in the languages column?
Hungary,,X,X,X,X,X,Hungarian,
"Iran, Islamic Rep. of",,X,X,X,X,X,Farsi,
Ireland,,X,X,X,,,English,
Israel,,X,X,X,,,"Arabic, Hebrew",
Italy,,X,X,X,X,X,Italian,
Jordan,,X,,,,,Arabic,
Kazakhstan,,X,X,,,,"Kazakh, Russian",
"Korea, Rep. of",,,,,,,Korean,
Kuwait,,,X,X,X,X,"Arabic, English",Participated in G6 in 2011-- should this count??
Latvia,,X,X,,X,X,Latvian,
Lithuania,,X,X,X,X,X,"Lithuanian, Polish, Russian",
Macao SAR,,X,X,,,,"Chinese, English, Portuguese",
Malta,,X,X,X,,,"English, Maltese",
Montenegro,,X,,,,,Montenegrin,
Morocco,,X,X,X,X,X,Arabic,Can see MAR in IR for 2006 and 2001 but they do not appear in any trend exhibits starting in 2011-- should they count here
Netherlands,,X,X,X,X,X,Dutch,
New Zealand,,X,X,X,X,X,English,
North Macedonia,,X,,,X,X,"Albanian, Macedonian",
Northern Ireland,,X,X,X,,,English,
Norway,,X,X,X,X,X,"Bokmål, Nynorsk, English",
Oman,,X,X,X,,,"Arabic, English",
Poland,,X,X,X,X,,Polish,Are listed in reports for 2011 and 2006 but do not have trend reported starting in 2011-- should they count here
Portugal,,X,X,X,,,Portuguese,
Qatar,,X,X,X,X,,"Arabic, English",Are listed in 2006 report but trend is not reported in subsequent reports
Romania,,,,X,X,X,Romanian,
Saudi Arabia,,X,X,X,,,"Arabic, English",
South Africa,X,X,X,,X,,"Afrikaans, English",Will need to confirm what to call South Africa here or if these other participations should be listed-- their population is different in P26 and they are participating as a benchmarker
Scotland,,,,,X,X,English,
Serbia,,X,,,,,Serbian,
Singapore,,X,X,X,X,X,English,P21 did not report Singapore result. Should we include it P21 
Slovak Republic,,X,X,X,X,X,"Hungarian, Slovak",Need to distinguish between male and female languages?
Slovenia,,X,X,X,X,X,Slovenian,
Spain,,X,X,X,X,,"Basque, Catalan, Galician, Valencian",
Sweden,,X,X,X,X,X,Swedish,
Tajikistan,,,,,,,"Russian, Tajik",
United Arab Emirates,,X,X,X,,,"Arabic, English",
"Abu Dhabi, UAE",X,X,X,X,,,"Arabic, English",
"Dubai, UAE",X,X,X,X,,,"Arabic, English",
"Sharjah, UAE",X,,,,,,"Arabic, English",
Uzbekistan,,X,,,,,"Karakalpak, Russian, Uzbek",
Wales,,,,,,,"English, Welsh",
